domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
1,BART,1,1,-0.06,20100101125959,NA
1,BART,1,2,-0.16,20100101125959,NA
1,BART,1,3,-0.26,20100101125959,NA
1,BART,1,4,-0.56,20100101125959,NA
1,BART,1,5,-0.96,20100101125959,NA
1,BART,1,6,-1.16,20100101125959,NA
1,BART,1,7,-1.66,20100101125959,NA
1,BART,1,8,-1.96,20100101125959,NA
1,BART,2,1,-0.06,20100101125959,NA
1,BART,2,2,-0.16,20100101125959,NA
1,BART,2,3,-0.26,20100101125959,NA
1,BART,2,4,-0.56,20100101125959,NA
1,BART,2,5,-0.96,20100101125959,NA
1,BART,2,6,-1.16,20100101125959,NA
1,BART,2,7,-1.66,20100101125959,NA
1,BART,2,8,-1.96,20100101125959,NA
1,BART,3,1,-0.056,20100101125959,NA
1,BART,3,2,-0.156,20100101125959,NA
1,BART,3,3,-0.256,20100101125959,NA
1,BART,3,4,-0.556,20100101125959,NA
1,BART,3,5,-0.956,20100101125959,NA
1,BART,3,6,-1.156,20100101125959,NA
1,BART,3,7,-1.656,20100101125959,NA
1,BART,3,8,-1.956,20100101125959,NA
1,BART,4,1,-0.057,20100101125959,NA
1,BART,4,2,-0.157,20100101125959,NA
1,BART,4,3,-0.257,20100101125959,NA
1,BART,4,4,-0.557,20100101125959,NA
1,BART,4,5,-0.957,20100101125959,NA
1,BART,4,6,-1.157,20100101125959,NA
1,BART,4,7,-1.657,20100101125959,NA
1,BART,4,8,-1.957,20100101125959,NA
1,BART,5,1,-0.06,20100101125959,NA
1,BART,5,2,-0.16,20100101125959,NA
1,BART,5,3,-0.26,20100101125959,NA
1,BART,5,4,-0.56,20100101125959,NA
1,BART,5,5,-0.96,20100101125959,NA
1,BART,5,6,-1.16,20100101125959,NA
1,BART,5,7,-1.66,20100101125959,NA
1,BART,5,8,-1.86,20191015000000,NA
1,BART,5,8,-1.96,20100101125959,20191015000000
1,HARV,1,1,-0.06,20100101125959,NA
1,HARV,1,2,-0.16,20100101125959,NA
1,HARV,1,3,-0.26,20100101125959,NA
1,HARV,1,4,-0.46,20100101125959,NA
1,HARV,1,5,NA,20100101125959,NA
1,HARV,1,6,NA,20100101125959,NA
1,HARV,1,7,NA,20100101125959,NA
1,HARV,1,8,NA,20100101125959,NA
1,HARV,2,1,-0.06,20100101125959,NA
1,HARV,2,2,-0.16,20100101125959,NA
1,HARV,2,3,-0.26,20100101125959,NA
1,HARV,2,4,-0.36,20100101125959,NA
1,HARV,2,5,-0.46,20100101125959,NA
1,HARV,2,6,-0.66,20100101125959,NA
1,HARV,2,7,NA,20100101125959,NA
1,HARV,2,8,NA,20100101125959,NA
1,HARV,3,1,-0.07,20100101125959,NA
1,HARV,3,2,-0.17,20100101125959,NA
1,HARV,3,3,-0.27,20100101125959,NA
1,HARV,3,4,-0.37,20100101125959,NA
1,HARV,3,5,-0.47,20100101125959,NA
1,HARV,3,6,-0.57,20100101125959,NA
1,HARV,3,7,NA,20100101125959,NA
1,HARV,3,8,NA,20100101125959,NA
1,HARV,4,1,-0.065,20100101125959,NA
1,HARV,4,2,-0.165,20100101125959,NA
1,HARV,4,3,-0.265,20100101125959,NA
1,HARV,4,4,-0.365,20100101125959,NA
1,HARV,4,5,-0.465,20100101125959,NA
1,HARV,4,6,-0.665,20100101125959,NA
1,HARV,4,7,NA,20100101125959,NA
1,HARV,4,8,NA,20100101125959,NA
1,HARV,5,1,-0.05,20100101125959,NA
1,HARV,5,2,-0.15,20100101125959,NA
1,HARV,5,3,-0.25,20100101125959,NA
1,HARV,5,4,-0.35,20100101125959,NA
1,HARV,5,5,-0.45,20100101125959,NA
1,HARV,5,6,-0.55,20100101125959,NA
1,HARV,5,7,NA,20100101125959,NA
1,HARV,5,8,NA,20100101125959,NA
2,BLAN,1,1,-0.06,20100101125959,NA
2,BLAN,1,2,-0.16,20100101125959,NA
2,BLAN,1,3,-0.26,20100101125959,NA
2,BLAN,1,4,-0.36,20100101125959,NA
2,BLAN,1,5,-0.66,20100101125959,NA
2,BLAN,1,6,-1.06,20100101125959,NA
2,BLAN,1,7,-1.46,20100101125959,NA
2,BLAN,1,8,-1.96,20100101125959,NA
2,BLAN,2,1,-0.07,20100101125959,NA
2,BLAN,2,2,-0.17,20100101125959,NA
2,BLAN,2,3,-0.27,20100101125959,NA
2,BLAN,2,4,-0.37,20100101125959,NA
2,BLAN,2,5,-0.67,20100101125959,NA
2,BLAN,2,6,-1.07,20100101125959,NA
2,BLAN,2,7,-1.47,20100101125959,NA
2,BLAN,2,8,-1.97,20100101125959,NA
2,BLAN,3,1,-0.07,20100101125959,NA
2,BLAN,3,2,-0.17,20100101125959,NA
2,BLAN,3,3,-0.27,20100101125959,NA
2,BLAN,3,4,-0.37,20100101125959,NA
2,BLAN,3,5,-0.67,20100101125959,NA
2,BLAN,3,6,-1.07,20100101125959,NA
2,BLAN,3,7,-1.47,20100101125959,NA
2,BLAN,3,8,-1.97,20100101125959,NA
2,BLAN,4,1,-0.06,20100101125959,NA
2,BLAN,4,2,-0.16,20100101125959,NA
2,BLAN,4,3,-0.26,20100101125959,NA
2,BLAN,4,4,-0.36,20100101125959,NA
2,BLAN,4,5,-0.66,20100101125959,NA
2,BLAN,4,6,-1.06,20100101125959,NA
2,BLAN,4,7,-1.46,20100101125959,NA
2,BLAN,4,8,-1.96,20100101125959,NA
2,BLAN,5,1,-0.05,20100101125959,NA
2,BLAN,5,2,-0.15,20100101125959,NA
2,BLAN,5,3,-0.25,20100101125959,NA
2,BLAN,5,4,-0.35,20100101125959,NA
2,BLAN,5,5,-0.65,20100101125959,NA
2,BLAN,5,6,-1.05,20100101125959,NA
2,BLAN,5,7,-1.45,20100101125959,NA
2,BLAN,5,8,-1.95,20100101125959,NA
2,SCBI,1,1,-0.07,20100101125959,NA
2,SCBI,1,2,-0.17,20100101125959,NA
2,SCBI,1,3,-0.27,20100101125959,NA
2,SCBI,1,4,-0.47,20100101125959,NA
2,SCBI,1,5,-0.87,20100101125959,NA
2,SCBI,1,6,-1.27,20100101125959,NA
2,SCBI,1,7,-1.67,20100101125959,NA
